SEG_ID,START_POINT,END_POINT,COUNT
89.0,POINT (466373.4 4433950.2),POINT (466345.7 4433914.9),7
90.0,POINT (466373.4 4433950.2),POINT (466392.1 4433988.1),1
90.0,POINT (466373.41307063104 4433950.150460108),POINT (466392.14162115945 4433988.065704164),1
90.0,POINT (466392.1 4433988.1),POINT (466373.4 4433950.2),10
91.0,POINT (466392.1 4433988.1),POINT (466404.8 4434032.9),6
91.0,POINT (466404.8 4434032.9),POINT (466392.1 4433988.1),15
92.0,POINT (466404.8 4434032.9),POINT (466409 4434068.1),3
92.0,POINT (466409 4434068.1),POINT (466404.8 4434032.9),24
93.0,POINT (466409 4434068.1),POINT (466409.3 4434091),3
93.0,POINT (466409.3 4434091),POINT (466409 4434068.1),24
94.0,POINT (466407.7 4434113.3),POINT (466409.3 4434091),21
94.0,POINT (466409.3 4434091),POINT (466407.7 4434113.3),1
95.0,POINT (466406.1 4434127.7),POINT (466407.7 4434113.3),21
95.0,POINT (466407.7 4434113.3),POINT (466406.1 4434127.7),1
96.0,POINT (466402.1 4434162),POINT (466406.1 4434127.7),20
96.0,POINT (466406.1 4434127.7),POINT (466402.1 4434162),1
97.0,POINT (466400.8 4434172.9),POINT (466402.1 4434162),33
97.0,POINT (466402.1 4434162),POINT (466400.8 4434172.9),1
98.0,POINT (466400 4434179.6),POINT (466400.8 4434172.9),34
98.0,POINT (466400.8 4434172.9),POINT (466400 4434179.6),2
99.0,POINT (466397.3 4434202.7),POINT (466400 4434179.6),34
99.0,POINT (466400 4434179.6),POINT (466397.3 4434202.7),2
100.0,POINT (466395.6 4434218.1),POINT (466397.3 4434202.7),30
100.0,POINT (466397.3 4434202.7),POINT (466395.6 4434218.1),2
101.0,POINT (466392.2 4434246.9),POINT (466395.6 4434218.1),37
101.0,POINT (466395.6 4434218.1),POINT (466392.2 4434246.9),4
102.0,POINT (466390.4 4434262.3),POINT (466392.2 4434246.9),37
102.0,POINT (466392.2 4434246.9),POINT (466390.4 4434262.3),6
103.0,POINT (466386.5 4434296),POINT (466390.4 4434262.3),46
103.0,POINT (466390.4 4434262.3),POINT (466386.5 4434296),5
104.0,POINT (466385.3 4434306.5),POINT (466386.5 4434296),43
104.0,POINT (466386.5 4434296),POINT (466385.3 4434306.5),5
105.0,POINT (466381.7 4434337.2),POINT (466385.3 4434306.5),47
105.0,POINT (466385.3 4434306.5),POINT (466381.7 4434337.2),6
106.0,POINT (466380.1 4434351.8),POINT (466381.7 4434337.2),44
106.0,POINT (466381.7 4434337.2),POINT (466380.1 4434351.8),6
107.0,POINT (466377.6 4434372.8),POINT (466380.1 4434351.8),48
107.0,POINT (466380.1 4434351.8),POINT (466377.6 4434372.8),8
108.0,POINT (466376.6 4434381.6),POINT (466377.6 4434372.8),66
108.0,POINT (466377.6 4434372.8),POINT (466376.6 4434381.6),8
109.0,POINT (466374.8 4434396.8),POINT (466376.6 4434381.6),61
109.0,POINT (466376.6 4434381.6),POINT (466374.8 4434396.8),8
110.0,POINT (466369.7 4434441.2),POINT (466374.8 4434396.8),69
110.0,POINT (466374.8 4434396.8),POINT (466369.7 4434441.2),12
111.0,POINT (466369.2 4434445.5),POINT (466369.7 4434441.2),75
111.0,POINT (466369.7 4434441.2),POINT (466369.2 4434445.5),13
112.0,POINT (466363.7 4434492.6),POINT (466369.2 4434445.5),71
112.0,POINT (466369.2 4434445.5),POINT (466363.7 4434492.6),13
113.0,POINT (466361.5 4434511.4),POINT (466363.7 4434492.6),68
113.0,POINT (466363.7 4434492.6),POINT (466361.5 4434511.4),13
114.0,POINT (466358.4 4434538.4),POINT (466361.5 4434511.4),54
114.0,POINT (466361.5 4434511.4),POINT (466358.4 4434538.4),13
115.0,POINT (466356.8 4434552.2),POINT (466358.4 4434538.4),50
115.0,POINT (466358.4 4434538.4),POINT (466356.8 4434552.2),13
116.0,POINT (466353.3 4434582.7),POINT (466356.8 4434552.2),55
116.0,POINT (466356.8 4434552.2),POINT (466353.3 4434582.7),16
117.0,POINT (466351.5 4434597.9),POINT (466353.3 4434582.7),58
117.0,POINT (466353.3 4434582.7),POINT (466351.5 4434597.9),16
118.0,POINT (466345.9 4434646.2),POINT (466351.5 4434597.9),62
118.0,POINT (466351.5 4434597.9),POINT (466345.9 4434646.2),17
119.0,POINT (466343.7 4434664.7),POINT (466345.9 4434646.2),67
119.0,POINT (466345.9 4434646.2),POINT (466343.7 4434664.7),22
120.0,POINT (466342.7 4434673.4),POINT (466343.7 4434664.7),67
120.0,POINT (466343.7 4434664.7),POINT (466342.7 4434673.4),5
121.0,POINT (466332.5 4434761.5),POINT (466342.7 4434673.4),60
122.0,POINT (466322.3 4434849.6),POINT (466332.5 4434761.5),6
123.0,POINT (466321 4434860.3),POINT (466322.3 4434849.6),20
123.0,POINT (466322.3 4434849.6),POINT (466321 4434860.3),1
124.0,POINT (466316.8 4434896.9),POINT (466321 4434860.3),19
124.0,POINT (466321 4434860.3),POINT (466316.8 4434896.9),1
125.0,POINT (466315.8 4434905.2),POINT (466316.8 4434896.9),19
125.0,POINT (466316.8 4434896.9),POINT (466315.8 4434905.2),1
126.0,POINT (466313.9 4434921.6),POINT (466315.8 4434905.2),19
126.0,POINT (466315.8 4434905.2),POINT (466313.9 4434921.6),1
127.0,POINT (466311.075303564 4434946.098134171),POINT (466313.9143704121 4434921.634861485),1
127.0,POINT (466311.1 4434946.1),POINT (466313.9 4434921.6),19
127.0,POINT (466313.9 4434921.6),POINT (466311.1 4434946.1),1
128.0,POINT (466308.9 4434964.8),POINT (466311.1 4434946.1),20
128.0,POINT (466311.1 4434946.1),POINT (466308.9 4434964.8),1
129.0,POINT (466305.3 4434995.7),POINT (466308.9 4434964.8),21
129.0,POINT (466308.9 4434964.8),POINT (466305.3 4434995.7),1
130.0,POINT (466304.4 4435003.3),POINT (466305.3 4434995.7),21
130.0,POINT (466305.3 4434995.7),POINT (466304.4 4435003.3),1
131.0,POINT (466299.5 4435045.9),POINT (466304.4 4435003.3),21
131.0,POINT (466304.4 4435003.3),POINT (466299.5 4435045.9),2
131.0,POINT (466304.43293723883 4435003.333077917),POINT (466299.49308482866 4435045.8980556615),2
132.0,POINT (466298 4435059.2),POINT (466299.5 4435045.9),25
132.0,POINT (466299.5 4435045.9),POINT (466298 4435059.2),6
133.0,POINT (466291.6981573801 4435113.064013394),POINT (466297.9528664182 4435059.169573404),16
133.0,POINT (466291.7 4435113.1),POINT (466298 4435059.2),11
133.0,POINT (466297.9528664182 4435059.169573404),POINT (466291.6981573801 4435113.064013394),2
133.0,POINT (466298 4435059.2),POINT (466291.7 4435113.1),1
134.0,POINT (466291.3 4435116.7),POINT (466291.7 4435113.1),24
134.0,POINT (466291.7 4435113.1),POINT (466291.3 4435116.7),3
135.0,POINT (466290.9 4435120.1),POINT (466291.3 4435116.7),22
135.0,POINT (466291.3 4435116.7),POINT (466290.9 4435120.1),3
136.0,POINT (466287.4 4435150.5),POINT (466290.9 4435120.1),25
136.0,POINT (466290.9 4435120.1),POINT (466287.4 4435150.5),3
137.0,POINT (466282.5 4435192.1),POINT (466287.4 4435150.5),25
137.0,POINT (466287.4 4435150.5),POINT (466282.5 4435192.1),3
138.0,POINT (466282.1 4435195.6),POINT (466282.5 4435192.1),24
138.0,POINT (466282.5 4435192.1),POINT (466282.1 4435195.6),3
